"","par","est","se","true","method","id","seed","n","skew","ncat","admissible","time"
"208","X~~Z",0.164,0.109,0.2,"Mplus",1204,7775358,500,"Symmetric","2",TRUE,101.29
"209","X=~x1",0.815165208418946,0.0355157212686037,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"210","X=~x2",0.811506382052152,0.0355432722478036,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"211","X=~x3",0.787077539757961,0.0351916698645054,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"212","Z=~z1",0.807974998613489,0.0364362928055002,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"213","Z=~z2",0.773029652577301,0.0351504606616767,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"214","Z=~z3",0.835408393764612,0.0334777087754836,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"215","Y=~y1",0.798933690200528,0.0346396033311803,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"216","Y=~y2",0.809188059792486,0.0294475420820156,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"217","Y=~y3",0.874752618429628,0.0264448608707922,0.8,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"218","Y~X",0.440315489214822,0.0421475160918448,0.4,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"219","Y~Z",0.473390977963341,0.0416551711960663,0.5,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"220","Y~X:Z",0.267104112982556,0.0624906690607627,0.3,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"221","X~~Z",0.134636185794442,0.0438155896116659,0.2,"MC-OrdPLSc",1205,2914306,1000,"Symmetric","2",TRUE,19.3
"222","X=~x1",0.689916552015868,0.0505612638052426,0.8,"PLSc",1205,2914306,1000,"Symmetric","2",TRUE,6.48000000000002
"223","X=~x2",0.6898745681913,0.0496218585159759,0.8,"PLSc",1205,2914306,1000,"Symmetric","2",TRUE,6.48000000000002
"224","X=~x3",0.627047263674341,0.051485251178284,0.8,"PLSc",1205,2914306,1000,"Symmetric","2",TRUE,6.48000000000002
"225","Z=~z1",0.66855121936401,0.0453113819718878,0.8,"PLSc",1205,2914306,1000,"Symmetric","2",TRUE,6.48000000000002
